customer_id,first_name,last_name,email,country
1,Njeri,Barasa,customer1@mail.co.ke,Kenya
2,Kamau,Koech,customer2@mail.co.ke,Kenya
3,Ouma,Ndegwa,customer3@mail.co.ke,Kenya
4,Cherono,Njuguna,customer4@mail.co.ke,Kenya
5,Njeri,Odhiambo,customer5@mail.co.ke,Kenya
6,Anyango,Ndegwa,customer6@mail.co.ke,Kenya
7,Otieno,Omondi,customer7@mail.co.ke,Kenya
8,Njeri,Wafula,customer8@mail.co.ke,Kenya
9,Ouma,Mutua,customer9@mail.co.ke,Kenya
10,Cherono,Barasa,customer10@mail.co.ke,Kenya
11,Kamau,Koech,customer11@mail.co.ke,Kenya
12,Ouma,Barasa,customer12@mail.co.ke,Kenya
13,Ouma,Ndegwa,customer13@mail.co.ke,Kenya
14,Otieno,Mutua,customer14@mail.co.ke,Kenya
15,Mutiso,Omondi,customer15@mail.co.ke,Kenya
16,Cherono,Chebet,customer16@mail.co.ke,Kenya
17,Wanjiku,Odhiambo,customer17@mail.co.ke,Kenya
18,Ouma,Mutua,customer18@mail.co.ke,Kenya
19,Mutiso,Wafula,customer19@mail.co.ke,Kenya
20,Wanjiku,Njuguna,customer20@mail.co.ke,Kenya
21,Cherono,Omondi,customer21@mail.co.ke,Kenya
22,Achieng,Odhiambo,customer22@mail.co.ke,Kenya
23,Anyango,Koech,customer23@mail.co.ke,Kenya
24,Mutiso,Njuguna,customer24@mail.co.ke,Kenya
25,Mwangi,Ndegwa,customer25@mail.co.ke,Kenya
26,Achieng,Mutua,customer26@mail.co.ke,Kenya
27,Anyango,Odhiambo,customer27@mail.co.ke,Kenya
28,Otieno,Kariuki,customer28@mail.co.ke,Kenya
29,Njeri,Chebet,customer29@mail.co.ke,Kenya
30,Kamau,Chebet,customer30@mail.co.ke,Kenya
31,Mwangi,Omondi,customer31@mail.co.ke,Kenya
32,Otieno,Koech,customer32@mail.co.ke,Kenya
33,Cherono,Omondi,customer33@mail.co.ke,Kenya
34,Otieno,Kariuki,customer34@mail.co.ke,Kenya
35,Njeri,Wafula,customer35@mail.co.ke,Kenya
36,Cherono,Koech,customer36@mail.co.ke,Kenya
37,Mwangi,Barasa,customer37@mail.co.ke,Kenya
38,Njeri,Wafula,customer38@mail.co.ke,Kenya
39,Wanjiku,Koech,customer39@mail.co.ke,Kenya
40,Kamau,Koech,customer40@mail.co.ke,Kenya
41,Mwangi,Kariuki,customer41@mail.co.ke,Kenya
42,Wanjiku,Ndegwa,customer42@mail.co.ke,Kenya
43,Anyango,Kariuki,customer43@mail.co.ke,Kenya
44,Mwangi,Koech,customer44@mail.co.ke,Kenya
45,Anyango,Odhiambo,customer45@mail.co.ke,Kenya
46,Cherono,Wafula,customer46@mail.co.ke,Kenya
47,Wanjiku,Kariuki,customer47@mail.co.ke,Kenya
48,Kamau,Ndegwa,customer48@mail.co.ke,Kenya
49,Njeri,Mutua,customer49@mail.co.ke,Kenya
50,Ouma,Omondi,customer50@mail.co.ke,Kenya
51,Otieno,Koech,customer51@mail.co.ke,Kenya
52,Achieng,Barasa,customer52@mail.co.ke,Kenya
53,Kamau,Mutua,customer53@mail.co.ke,Kenya
54,Wanjiku,Chebet,customer54@mail.co.ke,Kenya
55,Ouma,Njuguna,customer55@mail.co.ke,Kenya
